4,0,6.0,6.12,-0.42
4,0,7.0,5.12,-0.42
4,0,8.0,5.12,-1.42
4,0,9.0,5.12,0.58
4,0,10.0,-0.52,25.11
4,0,11.0,1.48,25.11
4,0,12.0,0.48,25.11
4,0,13.0,0.48,24.11
4,0,14.0,0.48,26.11
4,1,0.0,0.01,15.95
4,1,1.0,2.01,15.95
4,1,2.0,1.01,15.95
4,1,3.0,1.01,14.95
4,1,4.0,1.01,16.95
4,1,5.0,4.04,1.06
4,1,6.0,6.04,1.06
4,1,7.0,5.04,1.06
4,1,8.0,5.04,0.06
4,1,9.0,5.04,2.06
4,1,10.0,-0.53,24.64
4,1,11.0,1.47,24.64
4,1,12.0,0.47,24.64
4,1,13.0,0.47,23.64
4,1,14.0,0.47,25.64
4,2,0.0,-2.01,24.96
4,2,1.0,-0.01,24.96
4,2,2.0,-1.01,24.96
4,2,3.0,-1.01,23.96
4,2,4.0,-1.01,25.96
4,2,5.0,3.84,0.78
4,2,6.0,5.84,0.78
4,2,7.0,4.84,0.78
4,2,8.0,4.84,-0.22
4,2,9.0,4.84,1.78
4,2,10.0,-1.24,24.62
4,2,11.0,0.76,24.62
4,2,12.0,-0.24,24.62
4,2,13.0,-0.24,23.62
4,2,14.0,-0.24,25.62
5,0,0.0,4.0,0.72
5,0,1.0,6.0,0.72
5,0,2.0,5.00,0.72
5,0,3.0,5.00,-0.28
5,0,4.0,5.00,1.72
5,0,5.0,4.04,-0.09
5,0,6.0,6.04,-0.09
5,0,7.0,5.04,-0.09
5,0,8.0,5.04,-1.09
5,0,9.0,5.04,0.91
5,0,10.0,-0.78,26.70
5,0,11.0,1.22,26.70
5,0,12.0,0.22,26.70
5,0,13.0,0.22,25.7
5,0,14.0,0.22,27.7
5,1,0.0,-0.2,16.64
5,1,1.0,1.8,16.64
5,1,2.0,0.80,16.64
5,1,3.0,0.80,15.64
5,1,4.0,0.80,17.64
5,1,5.0,3.89,1.04
5,1,6.0,5.89,1.04
5,1,7.0,4.89,1.04
5,1,8.0,4.89,0.04
5,1,9.0,4.89,2.04
5,1,10.0,-0.91,26.58
5,1,11.0,1.09,26.58
5,1,12.0,0.09,26.58
5,1,13.0,0.09,25.58
5,1,14.0,0.09,27.58
5,2,0.0,-3.24,26.00
5,2,1.0,-1.24,26.00
5,2,2.0,-2.24,26.00
5,2,3.0,-2.24,25.0
5,2,4.0,-2.24,27.0
5,2,5.0,3.51,2.17
5,2,6.0,5.51,2.17
5,2,7.0,4.51,2.17
5,2,8.0,4.51,1.17
5,2,9.0,4.51,3.17
5,2,10.0,-1.64,26.11
5,2,11.0,0.36,26.11
5,2,12.0,-0.64,26.11
5,2,13.0,-0.64,25.11
5,2,14.0,-0.64,27.11
6,0,0.0,3.89,0.44
6,0,1.0,5.89,0.44
6,0,2.0,4.89,0.44
6,0,3.0,4.89,-0.56
6,0,4.0,4.89,1.44
6,0,5.0,3.99,-0.29
