conID,tstID,poiID,x,y
60,0,0,0.03,-0.23
60,0,1,1.08,-1.27
60,0,2,6.01,26.9
60,1,0,6.0,19.98
60,1,1,1.36,-0.91
60,1,2,6.2,26.53
60,2,0,7.65,26.0
60,2,1,2.17,-1.48
60,2,2,6.67,25.98
61,0,0,4.95,0.8
61,0,1,4.97,-0.3
61,0,2,0.44,24.64
61,1,0,2.39,17.05
61,1,1,4.9,1.06
61,1,2,1.03,23.88
61,2,0,1.73,22.89
61,2,1,4.76,0.63
61,2,2,0.83,23.99
62,0,0,0.54,-0.01
62,0,1,1.66,-0.83
62,0,2,2.76,23.84
62,1,0,7.19,19.5
62,1,1,1.23,-0.44
62,1,2,5.83,24.57
62,2,0,9.06,24.53
62,2,1,1.96,0.07
62,2,2,7.99,24.91
63,0,0,1.4,2.18
63,0,1,2.12,1.32
63,0,2,7.43,26.21
63,1,0,3.1,22.28
63,1,1,3.59,-0.18
63,1,2,4.42,25.51
63,2,0,3.05,25.56
63,2,1,3.86,-0.97
63,2,2,4.17,25.34
64,0,0,0.47,-1.36
64,0,1,1.38,-2.13
64,0,2,4.5,25.45
64,1,0,1.55,18.74
64,1,1,1.31,-2.12
64,1,2,3.92,25.5
64,2,0,1.77,25.55
64,2,1,2.46,-2.08
64,2,2,2.83,25.21
65,0,0,4.97,0.76
65,0,1,5.04,-0.4
65,0,2,0.26,26.45
65,1,0,3.56,18.1
65,1,1,5.06,0.68
65,1,2,0.39,26.22
65,2,0,2.52,25.93
65,2,1,4.85,0.89
65,2,2,1.25,26.22
66,0,0,3.86,-1.07
66,0,1,2.47,-1.25
66,0,2,4.24,26.63
66,1,0,0.71,22.12
66,1,1,3.1,-2.62
66,1,2,2.47,25.76
66,2,0,0.16,26.22
66,2,1,3.64,-2.16
66,2,2,1.41,26.45
67,0,0,0.62,-0.4
67,0,1,1.64,-0.94
67,0,2,2.34,25.87
67,1,0,6.09,22.93
67,1,1,2.25,-1.46
67,1,2,5.28,25.7
67,2,0,6.62,25.19
67,2,1,2.47,-1.74
67,2,2,5.69,25.14
68,0,0,3.66,-0.23
68,0,1,2.49,-0.63
68,0,2,4.6,26.46
68,1,0,2.45,18.92
68,1,1,3.07,-0.88
68,1,2,3.67,26.75
68,2,0,1.94,26.63
68,2,1,3.85,-1.75
68,2,2,3.11,26.28
69,0,0,5.1,0.55
69,0,1,5.1,-0.17
69,0,2,0.22,26.56
69,1,0,0.62,17.13
69,1,1,5.1,0.9
69,1,2,0.18,26.19
69,2,0,-1.96,25.6
69,2,1,5.04,0.81
69,2,2,-0.7,26.32
70,0,0,2.94,-0.07
70,0,1,3.93,-0.44
70,0,2,-0.53,24.93
70,1,0,2.56,20.77
70,1,1,3.97,-1.83
70,1,2,3.06,26.17
70,2,0,2.27,25.99
70,2,1,4.4,-2.76
70,2,2,3.5,25.67
71,0,0,8.09,-1.39
71,0,1,7.18,-2.27
71,0,2,3.3,26.1
71,1,0,1.27,21.23
71,1,1,7.31,-1.87
71,1,2,1.5,25.69
71,2,0,-0.14,25.46
71,2,1,6.68,-2.14
71,2,2,0.85,25.82
72,0,0,2.41,-2.43
72,0,1,3.16,-2.84
72,0,2,1.77,25.45
72,1,0,6.5,19.29
72,1,1,2.24,-2.99
72,1,2,5.1,25.48
72,2,0,7.43,25.46
72,2,1,2.79,-2.35
72,2,2,6.64,25.17
73,0,0,5.02,0.54
73,0,1,5.07,-0.22
73,0,2,0.25,27.33
73,1,0,0.55,17.74
73,1,1,5.19,1.03
73,1,2,0.25,26.31
73,2,0,-2.06,25.53
73,2,1,5.0,0.74
73,2,2,-0.8,26.15
74,0,0,6.33,0.02
74,0,1,5.09,-0.17
74,0,2,-0.02,25.79
74,1,0,6.33,22.79
74,1,1,4.57,-0.07
74,1,2,4.23,27.14
74,2,0,6.21,27.04
74,2,1,4.09,-0.23
74,2,2,5.42,27.48
75,0,0,0.84,1.82
75,0,1,1.95,0.33
75,0,2,5.8,26.51
75,1,0,5.92,21.54
75,1,1,1.35,0.61
75,1,2,5.47,25.41
75,2,0,6.59,25.0
75,2,1,1.7,-0.03
75,2,2,5.7,25.18
76,0,0,1.49,0.09
76,0,1,2.34,-1.31
76,0,2,4.96,25.76
76,1,0,7.06,19.5
76,1,1,2.88,-1.81
76,1,2,6.24,25.4
76,2,0,8.37,24.75
76,2,1,3.1,-1.83
76,2,2,7.46,24.99
77,0,0,5.0,0.43
77,0,1,5.04,-0.26
77,0,2,0.52,24.59
77,1,0,1.31,16.72
77,1,1,4.92,0.9
77,1,2,1.01,23.94
77,2,0,0.03,23.61
77,2,1,4.91,0.88
77,2,2,0.99,23.15
78,0,0,6.76,0.14
78,0,1,5.68,-0.04
78,0,2,2.57,24.02
78,1,0,1.64,19.49
