"20","20","22","22","16","15","22","14","22","21","20","14","22","14","16","16","46","14","22","22","11","20","24","20","38","20","13","12","38","16","45","16","38","22","13","34","21","38","23","0","44","22","12","34","15","29","40","21","14","34","18","28","36","24","35","26","37","22","36","36","34","22","38","24","26","20","13","34","18","16","22","14","38","14","40","34","36","18","20","38","16","20","22","20","39","36","17","21","36","13","20","36","16","20","24","15","36","14","40","40","13","34","16","36","16","40","36","16","34","18","17","13","20","40","34","34","28","36","16","44","36","32","36","36","34","16","18","16","28","32","20","29","22","12","38","34","33","32","24","22"
"42","40","37","38","42","44","38","44","38","38","39","45","38","45","42","47","18","44","39","38","37","39","32","42","11","38","48","43","14","42","18","46","14","39","47","24","39","22","38","44","0","36","48","15","43","37","16","38","45","22","38","36","18","38","20","23","21","38","17","18","20","42","12","31","26","39","44","16","38","45","30","47","12","46","24","23","18","42","44","16","38","38","40","30","24","22","40","40","16","42","42","15","44","38","29","44","18","46","12","20","43","15","44","27","40","16","18","45","26","35","47","48","40","22","19","20","22","18","44","16","20","22","21","18","18","40","42","48","36","19","35","35","39","46","16","20","22","20","34","30"
"8","8","2","4","10","10","2","12","4","2","3","12","2","12","12","12","28","10","14","4","24","4","34","7","26","2","20","12","34","10","26","12","29","3","19","25","4","36","3","22","36","0","19","32","10","14","27","2","14","23","7","8","33","4","28","41","37","4","36","40","37","6","32","38","38","3","22","34","31","10","20","14","28","12","22","36","36","10","17","30","30","18","7","26","19","31","28","6","33","26","12","30","10","10","33","16","25","12","28","35","27","28","10","20","29","28","29","10","16","34","16","15","6","27","36","41","40","34","10","30","35","38","33","34","33","7","16","16","10","34","32","10","4","20","30","34","40","39","42","26"
"12","15","18","16","12","12","18","11","20","17","18","10","20","9","10","10","36","13","10","16","14","18","32","14","40","18","8","11","40","11","36","10","40","18","10","34","19","40","18","12","48","19","0","40","12","22","36","18","9","34","15","20","38","19","34","32","45","17","39","37","36","16","42","26","27","18","9","36","14","10","20","6","38","11","30","37","40","12","8","40","17","10","16","20","30","39","18","16","40","12","13","41","12","14","26","6","38","9","43","39","12","36","12","28","14","38","36","11","30","22","8","10","15","32","38","36","35","41","12","38","36","37","38","40","37","14","8","5","20","39","17","22","16","5","40","36","36","35","34","28"
"37","35","34","34","39","40","34","40","34","33","32","39","32","40","40","40","19","38","38","32","31","31","19","35","14","32","41","36","4","38","18","40","12","32","40","16","32","10","34","34","15","32","40","0","38","30","16","31","43","15","36","32","8","32","12","13","10","32","7","10","8","34","5","22","18","33","36","6","30","40","30","41","8","40","22","10","4","38","42","4","28","34","36","28","22","12","28","34","6","32","36","4","38","34","20","41","16","41","14","9","32","7","40","21","32","15","11","40","29","23","40","40","36","15","6","11","10","8","37","14","8","8","8","5","8","36","39","43","30","4","26","32","34","36","5","6","10","9","24","24"
"4","8","9","10","4","3","8","4","10","8","6","4","9","4","6","3","34","3","12","10","20","9","34","6","34","8","12","4","40","2","34","4","34","7","14","27","8","38","8","15","43","10","12","38","0","19","32","8","9","28","8","16","38","10","34","36","40","8","40","42","40","8","40","34","34","8","18","38","25","4","22","8","33","4","28","36","40","2","10","38","26","15","8","24","28","37","22","8","40","20","10","38","1","12","30","11","30","5","35","39","22","35","2","26","24","34","36","3","24","30","8","8","6","32","40","42","37","37","2","37","40","40","37","38","37","4","12","10","16","37","27","16","8","14","36","38","40","39","34","26"
"15","16","14","14","20","20","14","22","16","12","14","20","13","21","21","18","23","20","16","11","30","12","36","16","30","13","25","22","31","19","22","18","30","12","27","22","14","26","14","29","37","14","22","30","19","0","27","12","22","20","18","6","30","12","23","41","38","12","29","35","35","14","34","37","41","14","26","29","28","19","19","18","26","20","16","32","32","17","16","30","30","18","15","28","14","33","30","14","32","30","13","34","18","16","38","20","27","21","32","28","30","28","20","12","32","28","28","20","16","34","16","18","14","20","32","36","38","36","18","24","32","34","28","32","34","18","17","18","4","32","32","8","13","20","27","34","35","38","46","32"
"28","30","26","27","34","34","28","35","28","28","28","35","26","36","34","34","6","34","29","28","38","29","33","30","8","28","37","34","16","33","6","32","9","28","34","10","28","18","26","40","16","27","36","16","32","27","0","27","36","15","31","24","15","26","12","28","22","26","16","18","20","28","13","32","28","28","40","16","34","32","28","34","12","34","12","21","18","31","36","16","34","32","28","30","14","12","38","27","16","36","33","15","32","34","30","38","8","34","8","18","38","11","34","16","36","6","11","32","16","34","38","38","28","9","18","24","24","14","33","8","17","22","18","18","16","32","32","36","24","18","30","21","28","38","15","18","23","22","34","30"
"7","9","2","4","11","9","2","11","6","2","3","12","3","10","12","11","28","10","13","4","24","4","34","8","27","2","19","12","34","8","26","10","28","2","20","23","2","34","4","21","38","2","18","31","8","12","27","0","15","22","8","8","33","4","28","40","36","4","34","38","36","6","32","38","38","3","23","32","29","11","19","13","26","12","20","34","34","8","16","30","29","18","8","28","20","31","26","4","34","24","11","32","8","12","33","16","24","12","30","34","26","28","10","19","28","28","28","10","16","34","14","14","5","25","34","40","38","32","8","30","34","38","32","32","33","9","16","15","8","32","30","10","2","18","30","34","39","38","40","26"
"10","14","14","15","10","8","14","10","16","14","16","9","16","8","8","9","36","11","14","15","16","16","35","13","37","15","7","12","44","9","35","10","40","14","6","35","16","42","14","14","45","14","9","43","9","22","36","15","0","33","12","16","40","16","37","36","46","16","44","44","43","14","42","32","31","14","12","44","22","9","26","6","39","11","30","40","45","12","10","42","20","14","12","22","28","38","20","15","41","15","14","40","10","14","27","8","36","8","39","42","18","39","8","28","20","36","35","8","25","28","9","9","10","36","44","42","39","42","9","37","40","44","42","42","40","10","12","6","18","42","25","18","14","10","41","42","42","40","36","28"
